Appellation;Departement
Cerdon ;Ain?
Manicle ;Ain?
Montagnieu ;Ain?
Roussette du Bugey;Ain?
Virieu-le-grand ;Ain?
Saint-pourçain;Allier?
Pierrevert ;Alpes-de-Haute-Provence?
Bellet ;Alpes-Maritimes
Côtes-de-provence;Alpes-Maritimes
Condrieu ;Ardèche
Cornas;Ardèche
Côtes-du-rhône ;Ardèche
Côtes-du-rhône villages;Ardèche
Côtes-du-vivarais;Ardèche
Saint-joseph;Ardèche
Saint-péray;Ardèche
Rosé des Riceys;Aube
Blanquette de Limoux;Aude
Cabardès ;Aude
Corbières ;Aude
Corbières-boutenac;Aude
Coteaux-du-languedoc;Aude
Crémant de Limoux;Aude
Fitou ;Aude
La Clape ;Aude
Languedoc ;Aude
Limoux;Aude
Malepère ;Aude
Minervois ;Aude
Quatourze;Aude
Rivesaltes ;Aude
Côtes-de-millau;Aveyron
Entraygues-et-du-fel;Aveyron
Estaing ;Aveyron
Marcillac ;Aveyron
Cassis ;Bouches-du-Rhône
Coteaux-d'aix-en-provence;Bouches-du-Rhône
Les-baux-de-provence;Bouches-du-Rhône
Palette ;Bouches-du-Rhône
Côtes-de-provence Sainte-Victoire;Bouches-du-Rhône
Châteaumeillant ;Cher? 
Menetou-salon ;Cher? 
Quincy ;Cher? 
Reuilly ;Cher? 
Sancerre ;Cher? 
 Anjou ;Deux-Sèvres
Haut-Poitou ;Deux-Sèvres
Saumur ;Deux-Sèvres
Bergerac ;Dordogne
Côtes-de-bergerac;Dordogne
Côtes-de-montravel;Dordogne
Haut-montravel;Dordogne
Monbazillac ;Dordogne
Montravel ;Dordogne
Pécharmant;Dordogne
Rosette ;Dordogne
Saussignac ;Dordogne
Brézème;Drôme? 
Châtillon-en-diois ;Drôme? 
Clairette de Die;Drôme? 
Coteaux-de-die;Drôme? 
Côtes-du-rhône ;Drôme? 
Côtes-du-rhône villages;Drôme? 
Crozes-hermitage ;Drôme? 
Grignan-les-adhémar;Drôme? 
Hermitage ;Drôme? 
Puyméras ;Drôme? 
Rochegude ;Drôme? 
Rousset-les-vignes ;Drôme? 
Saint-maurice-sur-eygues ;Drôme? 
Saint-pantaléon-les-vignes ;Drôme? 
Suze-la-rousse ;Drôme? 
Vinsobres ;Drôme? 
Chusclan ;Gard
Clairette de Bellegarde;Gard
Costières-de-nîmes;Gard
Coteaux-du-languedoc;Gard
Côtes-du-rhône ;Gard
Côtes-du-rhône villages;Gard
Côtes-du-vivarais;Gard
Duché-d'uzès ;Gard
Languedoc ;Gard
Laudun ;Gard
Lirac ;Gard
Pic-saint-loup ;Gard
Saint-gervais ;Gard
Signargues ;Gard
Sommières ;Gard
Tavel ;Gard
Béarn ;Gers? 
Brulhois ;Gers? 
Madiran ;Gers? 
Pacherenc-du-vic-bilh;Gers? 
Saint-mont ;Gers? 
Barsac;Gironde
Blaye ;Gironde
Blaye-côtes-de-bordeaux;Gironde
Bordeaux ;Gironde
Bordeaux-clairet;Gironde
Bordeaux-côtes-de-francs;Gironde
Bordeaux-supérieur;Gironde
Cadillac ;Gironde
Canon-fronsac;Gironde
Cérons ;Gironde
Côtes-de-bordeaux;Gironde
Côtes-de-blaye;Gironde
Côtes-de-bordeaux-saint-macaire;Gironde
Côtes-de-bourg;Gironde
Côtes-de-castillon;Gironde
Entre-deux-mers ;Gironde
Fronsac ;Gironde
Graves ;Gironde
Graves-de-vayres;Gironde
Haut-médoc;Gironde
Lalande-de-pomerol ;Gironde
Listrac-médoc ;Gironde
Loupiac ;Gironde
