Appellation;Departement
Cerdon ;AIN
Manicle ;AIN
Montagnieu ;AIN
Roussette du Bugey;AIN
Virieu-le-grand ;AIN
Saint-pourçain;ALLIER
Pierrevert ;ALPES-DE-HAUTE-PROVENCE
Bellet ;ALPES-MARITIMES
Côtes-de-provence;ALPES-MARITIMES
Condrieu ;ARDECHE
Cornas;ARDECHE
Côtes-du-rhône ;ARDECHE
Côtes-du-rhône villages;ARDECHE
Côtes-du-vivarais;ARDECHE
Saint-joseph;ARDECHE
Saint-péray;ARDECHE
Rosé des Riceys;AUBE
Blanquette de Limoux;AUDE
Cabardès ;AUDE
Corbières ;AUDE
Corbières-boutenac;AUDE
Coteaux-du-languedoc;AUDE
Crémant de Limoux;AUDE
Fitou ;AUDE
La Clape ;AUDE
Languedoc ;AUDE
Limoux;AUDE
Malepère ;AUDE
Minervois ;AUDE
Quatourze;AUDE
Rivesaltes ;AUDE
Côtes-de-millau;AVEYRON
Entraygues-et-du-fel;AVEYRON
Estaing ;AVEYRON
Marcillac ;AVEYRON
Cassis ;BOUCHES-DU-RHONE
Coteaux-d'aix-en-provence;BOUCHES-DU-RHONE
Les-baux-de-provence;BOUCHES-DU-RHONE
Palette ;BOUCHES-DU-RHONE
Côtes-de-provence Sainte-Victoire;BOUCHES-DU-RHONE
Châteaumeillant ;CHER
Menetou-salon ;CHER
Quincy ;CHER
Reuilly ;CHER
Sancerre ;CHER
Anjou ;DEUX-SEVRES
Haut-Poitou ;DEUX-SEVRES
Saumur ;DEUX-SEVRES
Bergerac ;DORDOGNE
Côtes-de-bergerac;DORDOGNE
Côtes-de-montravel;DORDOGNE
Haut-montravel;DORDOGNE
Monbazillac ;DORDOGNE
Montravel ;DORDOGNE
Pécharmant;DORDOGNE
Rosette ;DORDOGNE
Saussignac ;DORDOGNE
Brézème;DROME
Châtillon-en-diois ;DROME
Clairette de Die;DROME
Coteaux-de-die;DROME
Côtes-du-rhône ;DROME
Côtes-du-rhône villages;DROME
Crozes-hermitage ;DROME
Grignan-les-adhémar;DROME
Hermitage ;DROME
Puyméras ;DROME
Rochegude ;DROME
Rousset-les-vignes ;DROME
Saint-maurice-sur-eygues ;DROME
Saint-pantaléon-les-vignes ;DROME
Suze-la-rousse ;DROME
Vinsobres ;DROME
Chusclan ;GARD
Clairette de Bellegarde;GARD
Costières-de-nîmes;GARD
Coteaux-du-languedoc;GARD
Côtes-du-rhône ;GARD
Côtes-du-rhône villages;GARD
Côtes-du-vivarais;GARD
Duché-d'uzès ;GARD
Languedoc ;GARD
Laudun ;GARD
Lirac ;GARD
Pic-saint-loup ;GARD
Saint-gervais ;GARD
Signargues ;GARD
Sommières ;GARD
Tavel ;GARD
Béarn ;GERS
Brulhois ;GERS
Madiran ;GERS
Pacherenc-du-vic-bilh;GERS
Saint-mont ;GERS
Barsac;GIRONDE
Blaye ;GIRONDE
Blaye-côtes-de-bordeaux;GIRONDE
Bordeaux ;GIRONDE
Bordeaux-clairet;GIRONDE
Bordeaux-côtes-de-francs;GIRONDE
Bordeaux-supérieur;GIRONDE
Cadillac ;GIRONDE
Canon-fronsac;GIRONDE
Cérons ;GIRONDE
Côtes-de-bordeaux;GIRONDE
Côtes-de-blaye;GIRONDE
Côtes-de-bordeaux-saint-macaire;GIRONDE
Côtes-de-bourg;GIRONDE
Côtes-de-castillon;GIRONDE
Entre-deux-mers ;GIRONDE
Fronsac ;GIRONDE
Graves ;GIRONDE
Graves-de-vayres;GIRONDE
Haut-médoc;GIRONDE
