0333298F;Université de Bordeaux;;Université;Public;;Nouvelle-Aquitaine>Bordeaux>Gironde>Bordeaux;33063;Bordeaux;Bordeaux;Gironde;Bordeaux;Nouvelle-Aquitaine;35 PLACE PEY BERLAND;33000;BORDEAUX;France;;44347;45712;46668;46459;46382;48143
0312760G;Institut supérieur de l'aéronautique et de l'espace;ISAE;Grand établissement relevant d'un autre département ministériel;Public;;Occitanie>Toulouse>Haute-Garonne>Toulouse;31555;Toulouse;Toulouse;Haute-Garonne;Toulouse;Occitanie;10 AVENUE EDOUARD BELIN;31055;TOULOUSE CEDEX;France;Environnement et prospective de la politique de défense;1197;1178;1258;1357;1322;1274
0333232J;Institut polytechnique de Bordeaux;IPB;Grand établissement;Public;Université de Bordeaux;Nouvelle-Aquitaine>Bordeaux>Gironde>Talence;33522;Talence;Bordeaux;Gironde;Bordeaux;Nouvelle-Aquitaine;1 AVENUE DU DOCTEUR ALBERT SCHWE;33402;TALENCE CEDEX;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);1893;2056;2196;2331;2371;2347
0250082D;École nationale supérieure de mécanique et des microtechniques;ENSMM Besançon;Écoles nationales supérieures d'ingénieurs;Public;;Bourgogne-Franche-Comté>Besançon>Doubs>Besançon;25056;Besançon;Besançon;Doubs;Besançon;Bourgogne-Franche-Comté;26 CHEMIN DE L'EPITAPHE;25030;BESANCON CEDEX;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);877;856;877;870;832;830
0060099A;Observatoire de la côte d'azur;OCA;Autre établissement;Public;Université Nice - Sophia-Antipolis;Provence-Alpes-Côte d'Azur>Nice>Alpes-Maritimes>Nice;6088;Nice;Nice;Alpes-Maritimes;Nice;Provence-Alpes-Côte d'Azur;ROUTE GRANDE CORNICHE;6304;NICE CEDEX 4;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);0;0;0;0;0;0
0511296G;Université de Reims Champagne-Ardenne;URCA;Université;Public;;Grand Est>Reims>Marne>Reims;51454;Reims;Reims;Marne;Reims;Grand Est;9 BD DE LA PAIX;51097;REIMS CEDEX;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);21119;20865;21240;22071;22650;24232
0751723R;Université Paris Diderot;;Université;Public;;Île-de-France>Paris>Paris>Paris 13e;75113;Paris 13e;Paris;Paris;Paris;Île-de-France;5 RUE THOMAS MANN;75205;PARIS CEDEX 13;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);26394;24901;24289;24443;23250;24559
0753364Z;Institut d'administration des entreprises de Paris;IAE de Paris;Autre établissement;Public;Université Paris 1 - Panthéon Sorbonne;Île-de-France>Paris>Paris>Paris 5e;75105;Paris 5e;Paris;Paris;Paris;Île-de-France;21 RUE BROCA;75005;PARIS;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);0;0;0;0;0;0
0751719L;Université Sorbonne Nouvelle - Paris 3;;Université;Public;;Île-de-France>Paris>Paris>Paris 5e;75105;Paris 5e;Paris;Paris;Paris;Île-de-France;17 RUE DE LA SORBONNE;75230;PARIS CEDEX 05;France;Formations supérieures et recherche universitaire (Recherche et enseignement supérieur);17536;17836;17466;17110;16882;16481
0753465J;Institut des sciences et industries du vivant et de l'environnement;Agro Paris Tech;Grand établissement relevant d'un autre département ministériel;Public;;Île-de-France>Paris>Paris>Paris 5e;75105;Paris 5e;Paris;Paris;Paris;Île-de-France;16 RUE CLAUDE BERNARD;75231;PARIS CEDEX 05;France;Enseignement supérieur et recherche agricoles (Recherche et enseignement supérieur);1976;2062;2103;2076;2182;2172
